Lat,Long,Lat,Long
52.5104,13.3844,52.5365,13.4340
52.5104,13.3844,52.5070,13.4515
52.5104,13.3844,52.4934,13.5260
52.5104,13.3844,52.5069,13.3078
52.5104,13.3844,52.5069,13.3078
52.4965,13.2890,52.5143,13.4062
52.5190,13.3740,52.4977,13.3956
52.4896,13.3451,52.4977,13.3956
52.4930,13.2922,52.4977,13.3956
52.5129,13.4244,52.4977,13.3956
52.5129,13.4244,52.5071,13.3023
52.5129,13.4244,52.5650,13.3937
52.5627,13.3267,52.5029,13.3401
52.5627,13.3267,52.5029,13.3401
52.4610,13.5037,52.5029,13.3401
52.4610,13.5037,52.5016,13.2766
52.5045,13.4080,52.5111,13.4013
52.4828,13.3200,52.5111,13.4013
52.5029,13.4469,52.4597,13.4572
52.5029,13.4469,52.4597,13.4572
52.5029,13.4469,52.5027,13.3752
52.5029,13.4469,52.5027,13.3752
52.5029,13.4469,52.5027,13.3752
52.4923,13.3200,52.4999,13.3310
52.4923,13.3200,52.4999,13.3310
52.5020,13.3222,52.5170,13.3550
52.5020,13.3222,52.5182,13.4289
52.5020,13.3222,52.5182,13.4289
52.5020,13.4173,52.5182,13.4289
52.5020,13.4173,52.5293,13.4050
52.5020,13.4173,52.5293,13.4050
52.5110,13.3964,52.4980,13.3622
52.5110,13.3964,52.4980,13.3622
52.5110,13.3964,52.4980,13.3622
52.5110,13.3964,52.5215,13.3282
52.4940,13.3540,52.5475,13.4130
52.5121,13.4891,52.4923,13.4585
52.5121,13.4891,52.5172,13.4406
52.5121,13.4891,52.5172,13.4406
52.5404,13.4120,52.5172,13.4406
52.5404,13.4120,52.5172,13.4406
52.5404,13.4120,52.5114,13.4167
52.4486,13.3790,52.5430,13.3662
52.4486,13.3790,52.5430,13.3662
52.4486,13.3790,52.4620,13.3260
52.5172,13.3769,52.5140,13.3360
52.5172,13.3769,52.5140,13.3360
52.5230,13.4340,51.5030,12.3653
52.5230,13.4340,52.5030,13.3653
52.5230,13.4340,52.5164,13.4540
52.5230,13.4340,52.5164,13.4540
52.5230,13.4340,52.5626,13.3301
52.5461,13.3589,52.5626,13.3301
52.5461,13.3589,52.5626,13.3301
52.5461,13.3589,52.5303,13.3839
52.5461,13.3589,52.5170,13.3440
52.5461,13.3589,52.5256,13.4208
52.5461,13.3589,52.5256,13.4208
52.5062,13.3521,52.5256,13.4208
52.5062,13.3521,52.5170,13.3856
52.5062,13.3521,52.5253,13.4035
52.5062,13.3521,52.5051,13.3184
52.5168,13.3944,52.4723,13.3667
52.5168,13.3944,52.4723,13.3667
52.5075,13.3630,52.4723,13.3667
52.5075,13.3630,52.5033,13.4689
52.5075,13.3630,52.5092,13.3899
52.5067,13.3981,52.5092,13.3899
52.5067,13.3981,52.5092,13.3899
52.5067,13.3981,52.4940,13.3098
52.5067,13.3981,52.4620,13.4084
52.5148,13.4194,52.5224,13.3420
52.5148,13.4194,52.5214,13.4135
52.5193,13.4013,52.5214,13.4135
52.4886,13.2986,52.5214,13.4135
52.5412,13.2959,52.5214,13.4135
52.5412,13.2959,52.5214,13.4135
52.5412,13.2959,52.5214,13.4135
52.5412,13.2959,52.5214,13.4135
52.5412,13.2959,52.5214,13.4135
52.4630,13.4442,52.5214,13.4135
52.4630,13.4442,52.5193,13.3009
52.5407,13.3693,52.5193,13.3009
52.5407,13.3693,52.5193,13.3009
52.5407,13.3693,52.4989,13.4179
52.5400,13.4022,52.4989,13.4179
52.5400,13.4022,52.4989,13.4179
52.5400,13.4022,52.5095,13.2724
52.5193,13.3009,52.5095,13.2724
52.5193,13.3009,52.5010,13.4420
52.5193,13.3009,52.5291,13.4095
52.4631,13.3391,52.5291,13.4095
52.4631,13.3391,52.5291,13.4095
52.4631,13.3391,52.5291,13.4095
52.4989,13.4179,52.5108,13.4348
52.4989,13.4179,52.5108,13.4348
52.4989,13.4179,52.5108,13.4348
52.4989,13.4179,52.5108,13.4348
52.4989,13.4179,52.5199,13.4049
52.5095,13.2724,52.5199,13.4049
52.5095,13.2724,52.5199,13.4049
52.5010,13.4420,52.4703,13.3857
52.5010,13.4420,52.4703,13.3857
52.5010,13.4420,52.4703,13.3857
52.5291,13.4095,52.4703,13.3857
52.5291,13.4095,52.4703,13.3857
52.5291,13.4095,52.4703,13.3857
52.5291,13.4095,52.4703,13.3857
52.5108,13.4348,52.4703,13.3857
52.5108,13.4348,52.4386,13.2630
52.5108,13.4348,52.4760,13.3645
52.5108,13.4348,52.4760,13.3645
52.5108,13.4348,52.5490,13.3897
52.5199,13.4049,52.5480,13.2974
52.6110,13.3178,52.5480,13.2974
52.6110,13.3178,52.4783,13.3200
52.4703,13.3857,52.4787,13.3445
52.4703,13.3857,52.4787,13.3445
52.4703,13.3857,52.4787,13.3445
52.4703,13.3857,52.4787,13.3445
52.4703,13.3857,52.4787,13.3445
52.5490,13.3897,52.5019,13.3433
52.5480,13.2974,52.5019,13.3433
52.5480,13.2974,52.5304,13.4006
52.5480,13.2974,52.5304,13.4006
52.4783,13.3200,52.5304,13.4006
52.4783,13.3200,52.5304,13.4006
52.4787,13.3445,52.5304,13.4006
52.4787,13.3445,52.5304,13.4006
52.4787,13.3445,52.4592,13.5802
52.4787,13.3445,52.4592,13.5802
52.4787,13.3445,52.5057,13.3320
52.5019,13.3433,52.5057,13.3320
52.5019,13.3433,52.5057,13.3320
52.5019,13.3433,52.5057,13.3320
52.5019,13.3433,52.5057,13.3320
52.5019,13.3433,52.5057,13.3320
52.5304,13.4006,52.5057,13.3320
52.5304,13.4006,52.5490,13.3897
52.5304,13.4006,52.5490,13.3897
52.5304,13.4006,52.5305,13.3288
52.5304,13.4006,52.5305,13.3288
52.5057,13.3320,52.5305,13.3288
52.5057,13.3320,52.5305,13.3288
52.5057,13.3320,52.5091,13.3759
52.5057,13.3320,52.5091,13.3759
52.5057,13.3320,52.5091,13.3759
52.5344,13.1957,52.5091,13.3759
52.5305,13.3288,52.5091,13.3759
52.5305,13.3288,52.5091,13.3759
52.5305,13.3288,52.5050,13.3038
52.5091,13.3759,52.5050,13.3038
52.5091,13.3759,52.4940,13.3246
52.5091,13.3759,52.4940,13.3246
52.5091,13.3759,52.5223,13.3785
52.5091,13.3759,52.5223,13.3785
52.5091,13.3759,52.5223,13.3785
52.5050,13.3038,52.5223,13.3785
52.5050,13.3038,52.5223,13.3785
52.5223,13.3785,52.5223,13.3785
52.5223,13.3785,52.5223,13.3785
52.5223,13.3785,52.4989,13.3807
52.5223,13.3785,52.4989,13.3807
52.5223,13.3785,52.4989,13.3807
52.5223,13.3785,52.4990,13.3350
52.5223,13.3785,52.5365,13.4340
52.4989,13.3807,52.5365,13.4340
52.4989,13.3807,52.5070,13.4515
52.4989,13.3807,52.5070,13.4515
52.4989,13.3807,52.5070,13.4515
52.5050,13.6143,52.5070,13.4515
52.4990,13.3350,52.5070,13.4515
52.4990,13.3350,52.5070,13.4515
52.4990,13.3350,52.5643,13.3280
52.5365,13.4340,52.4934,13.5260
52.5070,13.4515,52.4934,13.5260
52.5070,13.4515,52.5069,13.3078
52.5070,13.4515,52.5069,13.3078
52.5070,13.4515,52.5069,13.3078
52.5070,13.4515,52.3986,13.0531
52.5280,13.4240,52.5143,13.4062
52.5280,13.4240,52.5143,13.4062
52.5370,13.4495,52.5143,13.4062
52.5069,13.3078,52.5143,13.4062
52.5069,13.3078,52.4977,13.3956
52.5069,13.3078,52.4977,13.3956
52.5069,13.3078,52.4977,13.3956
52.4920,13.2940,52.4977,13.3956
52.4920,13.2940,52.4977,13.3956
52.3986,13.0531,52.5071,13.3023
52.5143,13.4062,52.5071,13.3023
52.5143,13.4062,52.5071,13.3023
52.4977,13.3956,52.5650,13.3937
