UserID,Latitude,Longitude,ClusterID
2412d4cdbb9119c4892e274e73b9cdbdc6f01f6fc0a5f3b07f7643f8e7d257df,52.312,14.367,0
2412d4cdbb9119c4892e274e73b9cdbdc6f01f6fc0a5f3b07f7643f8e7d257df,52.519,13.427,0
2412d4cdbb9119c4892e274e73b9cdbdc6f01f6fc0a5f3b07f7643f8e7d257df,52.517,13.409,26
2412d4cdbb9119c4892e274e73b9cdbdc6f01f6fc0a5f3b07f7643f8e7d257df,52.51,13.392,0
2412d4cdbb9119c4892e274e73b9cdbdc6f01f6fc0a5f3b07f7643f8e7d257df,52.503,13.366,0
2412d4cdbb9119c4892e274e73b9cdbdc6f01f6fc0a5f3b07f7643f8e7d257df,52.487,13.357,0
2412d4cdbb9119c4892e274e73b9cdbdc6f01f6fc0a5f3b07f7643f8e7d257df,52.483,13.35,0
2412d4cdbb9119c4892e274e73b9cdbdc6f01f6fc0a5f3b07f7643f8e7d257df,52.483,13.35,0
2412d4cdbb9119c4892e274e73b9cdbdc6f01f6fc0a5f3b07f7643f8e7d257df,52.468,13.394,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.556,13.143,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.551,13.178,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.541,13.203,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.528,13.189,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.523,13.196,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.523,13.196,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.525,13.206,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.525,13.206,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.528,13.227,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.542,13.245,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.552,13.276,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.548,13.271,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.568,13.322,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.573,13.327,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.573,13.327,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.57,13.299,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.578,13.297,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.578,13.297,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.59,13.292,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.59,13.292,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.583,13.296,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.589,13.283,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.589,13.283,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.6,13.266,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.619,13.229,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.629,13.233,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.668,13.282,0
5d08b1f3336e422598421f962be3a217ef8450cfe00a632eedd048e1c9d9ad21,52.668,13.282,0
fbf0afe11ce406a062b1bfe2f6eeddcaa272e11c226ed3447a20d63838e1e2bf,52.38,13.447,0
fbf0afe11ce406a062b1bfe2f6eeddcaa272e11c226ed3447a20d63838e1e2bf,52.224,13.441,0
16dfe5fcc69b5066b2a20810173993cd9108601ecd4f789fdb83c9580d5b1cd2,52.47,13.573,0
16dfe5fcc69b5066b2a20810173993cd9108601ecd4f789fdb83c9580d5b1cd2,52.505,13.599,0
16dfe5fcc69b5066b2a20810173993cd9108601ecd4f789fdb83c9580d5b1cd2,52.54,13.441,0
16dfe5fcc69b5066b2a20810173993cd9108601ecd4f789fdb83c9580d5b1cd2,52.565,13.394,133
